Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
Finches,Hemignathus wilsoni,Akiapolaau,1300,estimated,Decreasing,inferred
Finches,Oreomystis bairdi,Akikiki,150-610,estimated,Decreasing,estimated
Finches,Palmeria dolei,Akohekohe,1100-2500,estimated,Decreasing,estimated
Typical Owls,Bubo leucostictus,Akun Eagle-owl,Unknown,not applicable,Decreasing,inferred
Old World Flycatchers and Chats,Phoenicurus alaschanicus,Ala Shan Redstart,6000-15000,suspected,Decreasing,suspected
Typical Antbirds,Myrmotherula snowi,Alagoas Antwren,Jan-49,estimated,Decreasing,inferred
"Guans, Chachalacas, Curassows",Mitu mitu,Alagoas Curassow,Unknown,,,not applicable
Ovenbirds,Philydor novaesi,Alagoas Foliage-gleaner,0,suspected,,
Tyrant-flycatchers,Phylloscartes ceciliae,Alagoas Tyrannulet,50-249,estimated,Decreasing,inferred
Grebes,Tachybaptus rufolavatus,Alaotra Grebe,Unknown,,,not applicable
Typical Owls,Glaucidium albertinum,Albertine Owlet,2500-9999,suspected,Decreasing,suspected
Bush-shrikes,Laniarius holomelas,Albertine Sooty Boubou,Unknown,not applicable,Decreasing,suspected
Lyrebirds,Menura alberti,Albert's Lyrebird,"1700-8300, 8100",estimated,Stable,suspected
Reed-warblers,Nesillas aldabrana,Aldabra Brush-warbler,0,estimated,,not applicable
Drongos,Dicrurus aldabranus,Aldabra Drongo,1000,estimated,Stable,suspected
Weavers,Foudia aldabrana,Aldabra Fody,2000-6000,estimated,Increasing,observed
Tyrant-flycatchers,Empidonax alnorum,Alder Flycatcher,120000000,estimated,Decreasing,estimated
"Gulls, Terns, Skimmers",Onychoprion aleuticus,Aleutian Tern,31000,estimated,Decreasing,inferred
Parrots,Palaeornis eupatria,Alexandrine Parakeet,Unknown,not applicable,Decreasing,suspected
Nuthatches,Sitta ledanti,Algerian Nuthatch,1000-2499,estimated,Decreasing,inferred
"Rails, Gallinules, Coots",Porphyrio alleni,Allen's Gallinule,Unknown,estimated,Decreasing,suspected
Hummingbirds,Selasphorus sasin,Allen's Hummingbird,1500000,estimated,Increasing,inferred
Typical Antbirds,Percnostola arenarum,Allpahuayo Antbird,600-1700,unknown,Decreasing,suspected
Typical Owls,Ninox plesseni,Alor Boobook,Unknown,not applicable,Stable,suspected
Honeyeaters,Myzomela prawiradilagae,Alor Myzomela,"3000-12000, 4000-9999",inferred,Decreasing,suspected
Accentors,Prunella collaris,Alpine Accentor,2030000-3790000,estimated,Stable,suspected
Waxbills,Lonchura monticola,Alpine Mannikin,Unknown,not applicable,Stable,suspected
Pipits and Wagtails,Anthus gutturalis,Alpine Pipit,Unknown,not applicable,Stable,suspected
Swifts,Tachymarptis melba,Alpine Swift,2160000-4870000,estimated,Unknown,suspected
Thrushes,Zoothera mollissima,Alpine Thrush,Unknown,not applicable,Stable,suspected
Leaf-warblers,Phylloscopus soror,Alstr?m's Warbler,Unknown,not applicable,Decreasing,suspected
Accentors,Prunella himalayana,Altai Accentor,Unknown,not applicable,Stable,suspected
"Pheasants, Partridges, Turkeys, Grouse",Tetraogallus altaicus,Altai Snowcock,Unknown,estimated,Decreasing,suspected
New World blackbirds,Icterus gularis,Altamira Oriole,5000000-50000000,estimated,Stable,suspected
New World warblers,Geothlypis flavovelata,Altamira Yellowthroat,2500-9999,inferred,Decreasing,inferred
Crows and jays,Garrulus lidthi,Amami Jay,3900,estimated,Decreasing,suspected
Thrushes,Zoothera major,Amami Thrush,"2000-6000, 4000-6000",estimated,Stable,suspected
"Sandpipers, Snipes, Phalaropes",Scolopax mira,Amami Woodcock,2500-9999,estimated,Stable,suspected
Woodpeckers,Dendrocopos owstoni,Amami Woodpecker,1000-1500,estimated,Stable,inferred
Sunbirds,Hedydipna pallidigaster,Amani Sunbird,1500-7000,inferred,Decreasing,inferred
Thrushes,Myadestes woahensis,Amaui,0,estimated,,not applicable
Hummingbirds,Amazilis amazilia,Amazilia Hummingbird,Unknown,not applicable,Unknown,not applicable
Kingfishers,Chloroceryle amazona,Amazon Kingfisher,500000-4999999,estimated,Decreasing,suspected
Antpittas,Myrmothera berlepschi,Amazonian Antpitta,Unknown,not applicable,Stable,suspected
Typical Antbirds,Thamnophilus amazonicus,Amazonian Antshrike,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Dendrocolaptes certhia,Amazonian Barred Woodcreeper,Unknown,,Stable,suspected
Woodpeckers,Celeus occidentalis,Amazonian Black-breasted Woodpecker,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Knipolegus poecilocercus,Amazonian Black-tyrant,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Myiopagis cinerea,Amazonian Grey Elaenia,Unknown,not applicable,Decreasing,suspected
Cardinals,Cyanoloxia rothschildii,Amazonian Grosbeak,Unknown,estimated,Decreasing,not applicable
Motmots,Momotus momota,Amazonian Motmot,Unknown,,Decreasing,suspected
Parrots,Nannopsittaca dachilleae,Amazonian Parrotlet,2500-9999,suspected,Decreasing,suspected
Typical Owls,Glaucidium hardyi,Amazonian Pygmy-owl,Unknown,not applicable,Decreasing,suspected
Tityras and allies,Onychorhynchus coronatus,Amazonian Royal Flycatcher,500000-4999999,estimated,Decreasing,inferred
Tyrant-flycatchers,Sublegatus obscurior,Amazonian Scrub-flycatcher,Unknown,not applicable,Stable,suspected
Typical Antbirds,Myrmotherula multostriata,Amazonian Streaked Antwren,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Inezia subflava,Amazonian Tyrannulet,Unknown,,Decreasing,suspected
Cotingas,Cephalopterus ornatus,Amazonian Umbrellabird,Unknown,not applicable,Decreasing,suspected
Ovenbirds,Automolus subulatus,Amazonian Woodhaunter,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Monticola erythronotus,Amber Mountain Rock-thrush,3300,estimated,Decreasing,suspected
White-eyes and Yuhinas,Zosterops kuehni,Ambon White-eye,Unknown,not applicable,Stable,suspected
"Avocets, Stilts",Recurvirostra americana,American Avocet,460000,estimated,Unknown,not applicable
Herons,Botaurus lentiginosus,American Bittern,Unknown,estimated,Decreasing,estimated
"Ducks, Geese, Swans",Anas rubripes,American Black Duck,700000,estimated,Decreasing,suspected
New World vultures,Coragyps atratus,American Black Vulture,Unknown,estimated,Increasing,estimated
Long-tailed Tits,Psaltriparus minimus,American Bushtit,4300000,inferred,Decreasing,inferred
"Rails, Gallinules, Coots",Fulica americana,American Coot,Unknown,estimated,Decreasing,estimated
Crows and jays,Corvus brachyrhynchos,American Crow,Unknown,estimated,Increasing,estimated
Dippers,Cinclus mexicanus,American Dipper,160000,estimated,Decreasing,suspected
Tyrant-flycatchers,Empidonax oberholseri,American Dusky Flycatcher,8800000,estimated,Stable,estimated
Flamingos,Phoenicopterus ruber,American Flamingo,150000-205000,inferred,Increasing,suspected
Plovers,Pluvialis dominica,American Golden Plover,1000000-6000000,estimated,Decreasing,suspected
Finches,Spinus tristis,American Goldfinch,Unknown,estimated,Increasing,estimated
Tyrant-flycatchers,Empidonax wrightii,American Grey Flycatcher,2900000,estimated,Increasing,estimated
"Falcons, Caracaras",Falco sparverius,American Kestrel,Unknown,estimated,Stable,estimated
Oystercatchers,Haematopus palliatus,American Oystercatcher,Unknown,estimated,Stable,suspected
Kingfishers,Chloroceryle aenea,American Pygmy-kingfisher,500000-4999999,estimated,Decreasing,suspected
New World warblers,Setophaga ruticilla,American Redstart,42000000,estimated,Increasing,estimated
Thrushes,Turdus migratorius,American Robin,370000000,inferred,Stable,inferred
New World sparrows,Passerella arborea,American Tree Sparrow,26000000,estimated,Decreasing,inferred
Treecreepers,Certhia americana,American Treecreeper,11000000,inferred,Increasing,estimated
Pelicans,Pelecanus erythrorhynchos,American White Pelican,Unknown,estimated,Increasing,suspected
"Ducks, Geese, Swans",Mareca americana,American Wigeon,2700000,estimated,Decreasing,suspected
"Sandpipers, Snipes, Phalaropes",Scolopax minor,American Woodcock,3500000,estimated,Decreasing,estimated
New World warblers,Setophaga petechia,American Yellow Warbler,97000000,estimated,Decreasing,inferred
"Pigeons, Doves",Phapitreron amethystinus,Amethyst Brown-dove,Unknown,not applicable,Decreasing,suspected
Sunbirds,Chalcomitra amethystina,Amethyst Sunbird,Unknown,not applicable,Stable,suspected
Hummingbirds,Calliphlox amethystina,Amethyst Woodstar,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Lampornis amethystinus,Amethyst-throated Mountain-gem,50000-499999,suspected,Decreasing,suspected
Hummingbirds,Heliangelus amethysticollis,Amethyst-throated Sunangel,Unknown,,Decreasing,suspected
Albatrosses,Diomedea amsterdamensis,Amsterdam Albatross,92,observed,Increasing,suspected
"Ducks, Geese, Swans",Anas marecula,Amsterdam Duck,0,estimated,,not applicable
"Falcons, Caracaras",Falco amurensis,Amur Falcon,200000-667000,suspected,Stable,suspected
Waxbills,Estrilda poliopareia,Anambra Waxbill,1300-2300,estimated,Stable,suspected
Tapaculos,Scytalopus affinis,Ancash Tapaculo,Unknown,not applicable,Stable,suspected
African barbets,Stactolaema anchietae,Anchieta's Barbet,Unknown,not applicable,Stable,suspected
Sunbirds,Anthreptes anchietae,Anchieta's Sunbird,Unknown,not applicable,Stable,suspected
Typical Antbirds,Herpsilochmus gentryi,Ancient Antwren,Unknown,not applicable,Decreasing,suspected
Auks,Synthliboramphus antiquus,Ancient Murrelet,Unknown,estimated,Decreasing,estimated
Typical Owls,Ninox affinis,Andaman Boobook,2500-9999,estimated,Decreasing,suspected
Bulbuls,Brachypodius fuscoflavescens,Andaman Bulbul,2500-9999,estimated,Decreasing,inferred
Cuckoos,Centropus andamanensis,Andaman Coucal,Unknown,not applicable,Decreasing,suspected
"Rails, Gallinules, Coots",Rallina canningi,Andaman Crake,6700-17000,estimated,Decreasing,estimated
"Pigeons, Doves",Macropygia rufipennis,Andaman Cuckoo-Dove,Unknown,not applicable,Decreasing,suspected
Cuckooshrikes,Coracina dobsoni,Andaman Cuckooshrike,2500-9999,estimated,Decreasing,inferred
Drongos,Dicrurus andamanensis,Andaman Drongo,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Treron chloropterus,Andaman Green-pigeon,Unknown,inferred,Decreasing,suspected
Nightjars,Caprimulgus andamanicus,Andaman Nightjar,Unknown,,Stable,suspected
Typical Owls,Otus balli,Andaman Scops-owl,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Spilornis elgini,Andaman Serpent-eagle,1000-4000,estimated,Decreasing,inferred
Old World Flycatchers and Chats,Copsychus albiventris,Andaman Shama,Unknown,,Stable,suspected
"Ducks, Geese, Swans",Anas albogularis,Andaman Teal,1000-2500,estimated,Stable,suspected
Crows and jays,Dendrocitta bayleii,Andaman Treepie,250-999,suspected,Decreasing,suspected
Woodpeckers,Dryocopus hodgei,Andaman Woodpecker,1000-2499,suspected,Decreasing,suspected
"Pigeons, Doves",Columba palumboides,Andaman Woodpigeon,2500-9999,estimated,Decreasing,suspected
"Avocets, Stilts",Recurvirostra andina,Andean Avocet,"2500-9999, 5000",estimated,Stable,suspected
Tyrant-flycatchers,Knipolegus signatus,Andean Black-tyrant,Unknown,not applicable,Decreasing,suspected
Cotingas,Rupicola peruvianus,Andean Cock-of-the-rock,Unknown,not applicable,Decreasing,inferred
New World vultures,Vultur gryphus,Andean Condor,6700,estimated,Decreasing,inferred
"Rails, Gallinules, Coots",Fulica ardesiaca,Andean Coot,Unknown,not applicable,Unknown,not applicable
"Ducks, Geese, Swans",Oxyura ferruginea,Andean Duck,23300-73300,estimated,Decreasing,suspected
Hummingbirds,Amazilia franciae,Andean Emerald,Unknown,not applicable,Decreasing,not applicable
Flamingos,Phoenicoparrus andinus,Andean Flamingo,Unknown,not applicable,Decreasing,suspected
"Ducks, Geese, Swans",Chloephaga melanoptera,Andean Goose,16700-66700,estimated,Stable,suspected
"Guans, Chachalacas, Curassows",Penelope montagnii,Andean Guan,Unknown,not applicable,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus serranus,Andean Gull,100000-100000,estimated,Unknown,not applicable
Hummingbirds,Oreotrochilus estella,Andean Hillstar,Unknown,not applicable,Stable,suspected
"Ibises, Spoonbills",Theristicus branickii,Andean Ibis,2500-9999,inferred,Decreasing,suspected
Plovers,Vanellus resplendens,Andean Lapwing,670-6700,estimated,Stable,suspected
Motmots,Momotus aequatorialis,Andean Motmot,Unknown,,Decreasing,suspected
Tityras and allies,Laniisoma buckleyi,Andean Mourner,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Lessonia oreas,Andean Negrito,Unknown,not applicable,Stable,suspected
Parrots,Bolborhynchus orbygnesius,Andean Parakeet,Unknown,not applicable,Decreasing,suspected
Potoos,Nyctibius maculosus,Andean Potoo,Unknown,not applicable,Decreasing,suspected
Typical Owls,Glaucidium jardinii,Andean Pygmy-owl,Unknown,,Decreasing,suspected
Finches,Spinus spinescens,Andean Siskin,Unknown,not applicable,Stable,suspected
Thrushes,Turdus nigriceps,Andean Slaty Thrush,Unknown,,Unknown,
"Sandpipers, Snipes, Phalaropes",Gallinago jamesoni,Andean Snipe,3900-5200,estimated,Unknown,not applicable
Thrushes,Myadestes ralloides,Andean Solitaire,Unknown,not applicable,Decreasing,suspected
Swallows and martins,Orochelidon andecola,Andean Swallow,Unknown,not applicable,Stable,suspected
Swifts,Aeronautes andecolus,Andean Swift,Unknown,not applicable,Stable,suspected
"Ducks, Geese, Swans",Anas andium,Andean Teal,6000-15000,inferred,Decreasing,suspected
Tinamous,Nothoprocta pentlandii,Andean Tinamou,Unknown,not applicable,Stable,suspected
Ovenbirds,Leptasthenura andicola,Andean Tit-spinetail,Unknown,not applicable,Stable,suspected
Batises and Wattle-eyes,Batis minulla,Angola Batis,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Xenocopsychus ansorgei,Angola Cave-chat,Unknown,not applicable,Stable,suspected
Bulbuls,Phyllastrephus viridiceps,Angola Greenbul,2500-9999,suspected,Decreasing,suspected
Larks,Mirafra angolensis,Angola Lark,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Melaenornis brunneus,Angola Slaty-flycatcher,Unknown,not applicable,Decreasing,suspected
Swallows and martins,Hirundo angolensis,Angola Swallow,Unknown,not applicable,Increasing,suspected
Waxbills,Coccopygia bocagei,Angola Waxbill,Unknown,,Stable,suspected
Darters,Anhinga anhinga,Anhinga,Unknown,not applicable,Decreasing,suspected
Finches,Magumma parva,Anianiau,3000-5000,estimated,Decreasing,estimated
Typical Owls,Otus capnodes,Anjouan Scops-owl,2300-3600,estimated,Decreasing,suspected
Sunbirds,Cinnyris comorensis,Anjouan Sunbird,Unknown,not applicable,Stable,suspected
Finches,Crithagra ankoberensis,Ankober Serin,6000-15000,estimated,Decreasing,suspected
Asian Barbets,Psilopogon annamensis,Annam Barbet,Unknown,,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Rheinardia ocellata,Annamite Crested Argus,Unknown,,Decreasing,inferred
Ground babblers,Gypsophila annamensis,Annamite Limestone-babbler,Unknown,not applicable,Stable,inferred
Hummingbirds,Calypte anna,Anna's Hummingbird,9600000,estimated,Increasing,estimated
Typical Owls,Otus feae,Annobon Scops-owl,50-249,estimated,Decreasing,suspected
White-eyes and Yuhinas,Zosterops griseovirescens,Annobon White-eye,Unknown,not applicable,Stable,suspected
Bulbuls,Eurillas ansorgei,Ansorge's Greenbul,Unknown,not applicable,Stable,suspected
"Petrels, Shearwaters",Thalassoica antarctica,Antarctic Petrel,Unknown,estimated,Stable,suspected
"Petrels, Shearwaters",Pachyptila desolata,Antarctic Prion,Unknown,estimated,Decreasing,suspected
"Gulls, Terns, Skimmers",Sterna vittata,Antarctic Tern,Unknown,estimated,Unknown,
Hummingbirds,Orthorhyncus cristatus,Antillean Crested Hummingbird,Unknown,not applicable,Unknown,not applicable
Nightjars,Chordeiles gundlachii,Antillean Nighthawk,200000,estimated,Stable,suspected
Swifts,Tachornis phoenicobia,Antillean Palm Swift,Unknown,not applicable,Stable,suspected
Woodpeckers,Nesoctites micromegas,Antillean Piculet,Unknown,not applicable,Decreasing,suspected
Finches,Spinus dominicensis,Antillean Siskin,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Pogonotriccus lanyoni,Antioquia Bristle-tyrant,1000-2499,suspected,Decreasing,suspected
New World sparrows,Atlapetes blancae,Antioquia Brushfinch,Jan-49,estimated,Unknown,not applicable
Wrens,Thryophilus sernai,Antioquia Wren,2500-9999,suspected,Decreasing,suspected
Albatrosses,Diomedea antipodensis,Antipodean Albatross,50000,estimated,Decreasing,estimated
Parrots,Cyanoramphus unicolor,Antipodes Parakeet,2000-3000,estimated,Stable,estimated
Finches,Himatione sanguinea,Apapane,700000-1100000,estimated,Stable,suspected
Tyrant-flycatchers,Myiarchus apicalis,Apical Flycatcher,Unknown,not applicable,Increasing,suspected
"Falcons, Caracaras",Falco femoralis,Aplomado Falcon,Unknown,estimated,Decreasing,suspected
Starlings,Goodfellowia miranda,Apo Myna,Unknown,not applicable,Decreasing,suspected
Sunbirds,Aethopyga boltoni,Apo Sunbird,15000-24999,suspected,Stable,suspected
Wrens,Cistothorus apolinari,Apolinar's Wren,1000-2499,estimated,Decreasing,inferred
Cotingas,Phibalura boliviana,Apolo Cotinga,400-530,estimated,Decreasing,inferred
Australian mudnesters,Struthidea cinerea,Apostlebird,Unknown,not applicable,Stable,suspected
Tetrakas,Xanthomixis apperti,Appert's Tetraka,600-1700,suspected,Decreasing,suspected
Sunbirds,Cinnyris buettikoferi,Apricot-breasted Sunbird,Unknown,estimated,Stable,suspected
New World sparrows,Atlapetes forbesi,Apurimac Brushfinch,Unknown,not applicable,Decreasing,suspected
